codigo_softland,descripcion,unidad_medida,rubro,prefijo_rubro,subrubro,prefijo_subrubro
993,"CAÑOS 89,5 MM X 6 MTS X ESP 7,25 S/COSTURA",UN,TALLER,TAL,HIERROS,HIE
994,ATA LONA (MANIJA) LARGO 240 MM,UN,TALLER,TAL,LONAS,LON
995,R3 PATAS DESIGUALES RAMPA PLEGADA Y ABOCARDADA CHAPA 1/4 ESPESOR S/PLANO,MT,TALLER,TAL,GUIAS RAMPAS Y PECHO,GRP
996,PLANCHUELA BRAZO DERECHO RAMPA A 4,UN,TALLER,TAL,GUIAS RAMPAS Y PECHO,GRP
997,RAMPA PARA TRAILER ACANALADA 6MTS,MT,TALLER,TAL,GUIAS RAMPAS Y PECHO,GRP
998,SUPLEMENTO REDONDO DE GOMA EXT. 65 X INT. 15 X ALTURA 20 MM,UN,TALLER,TAL,BULONERIA,BUL
999,MANGUERA P/ DIRECCION HIDRAULICA (TELA /GOMA) 12 MM,MT,TALLER,TAL,MANGUERAS,MAN
1000,BARRA DE GRILLON DE 100MM EXT. X 60 MM INT,MT,TALLER,TAL,HIERROS,HIE
1001,LLAVES DE PASO ESFERE.1/2,UN,TALLER,TAL,HERRAMIENTAS,HER
1002,"CAD.RUED N§33,34 BAR/NIE/HIE DUAL",UN,TALLER,TAL,FERRETERIA,FER
1003,ROLDANA DE 125 MM,UN,TALLER,TAL,FERRETERIA,FER
1004,CADENA N 120,MT,TALLER,TAL,TRANSMISION,TRN
1005,TAPONES 3/4 GALVANIZADO,UN,TALLER,TAL,CONEXIONES,CON
1006,BANDERA DE PELIGRO,UN,TALLER,TAL,EPP,EPP
1007,CADENA N 25,MT,TALLER,TAL,FERRETERIA,FER
1008,LINGA DE 10MM,MT,TALLER,TAL,FERRETERIA,FER
1009,LINGAS DE 1/2,MT,TALLER,TAL,FERRETERIA,FER
1010,barra de grillon de 80ext. 60int (diametro),MT,TALLER,TAL,TACOS,TAC
1010,TACO DE GOMA,UN,TALLER,TAL,TACOS,TAC
1011,barra de grillon de 90ext. 70int (diametro),MT,TALLER,TAL,HIERROS,HIE
1011,LIMITADOR DE VELOCIDAD,UN,TALLER,TAL,FERRETERIA,FER
1013,ANTIOXIDO A BASE DE ZINC,LT,TALLER,TAL,PINTURA,PIN
1014,MANGUERA DE COMBUSTIBLE,MT,TALLER,TAL,MANGUERAS,MAN
1015,MANGUERA DE TURBO,UN,TALLER,TAL,MANGUERAS,MAN
1016,REMACHES ALUMINIO 6X16C/B,UN,TALLER,TAL,BULONERIA,BUL
1017,DEPOSITO DE AGUA CARGO,UN,TALLER,TAL,REPUESTOS,RPU
1018,PINTURA BLANCA SINTETICA 4LTS,UN,TALLER,TAL,PINTURA,PIN
1019,PINTURA GRIS,LT,TALLER,TAL,PINTURA,PIN
1020,PPG HPC DIRECTO METAL BLANCO EN ENVASES DE 20 LTS,LT,TALLER,TAL,PINTURA,PIN
1021,FONDO ANTIOXIDO BLANCO,LT,TALLER,TAL,PINTURA,PIN
1022,FOSFATIZANTE,LT,TALLER,TAL,PINTURA,PIN
1023,PINTURA CAUCHO CLORADO BLANCO,LT,TALLER,TAL,PINTURA,PIN
