codigo_softland,descripcion,unidad_medida,rubro,prefijo_rubro,subrubro,prefijo_subrubro
5370,PLEGADO 28 ( Soporte de Calzas ),UN,TALLER,TAL,HIERROS,HIE
6000,BUJE DIAMETRO 88 X DIAMETRO 72.4 X 50,UN,TALLER,TAL,RODAMIENTOS,ROD
6001,LLANTAS 10 AGUJEROS ESPECIAL,UN,TALLER,TAL,LLANTAS,LLA
6002,"Buje construido en acero 1045, con cadmiado. Según Plano",UN,TALLER,TAL,RODAMIENTOS,ROD
6003,Perno con cadmiado. Según plano.(delantero),UN,TALLER,TAL,PERNOS,PER
6003,Perno con cadmiado. Según plano.(trasero),UN,TALLER,TAL,PERNOS,PER
6004,"Buje construido en acero 1045, con cadmiado. Según Plano",UN,TALLER,TAL,PERNOS,PER
6005,"Perno construido en acero 1045, con cadmiado. Según Plano",UN,TALLER,TAL,PERNOS,PER
6006,Topes de rebote de 90 mm,UN,TALLER,TAL,FERRETERIA,FER
6007,CAMPANA ROMAPAR,UN,TALLER,TAL,FRENO Y SUSPENSION,FYS
6008,LLANTA 750 X 16 CENTRO FORD 600,UN,TALLER,TAL,LLANTAS,LLA
6009,KIT DE SUSPENSIÓN,UN,TALLER,TAL,REPUESTOS,RPU
6010,PAQUETE DE ELÁSTICOS TRASEROS TIPO MONTENEGRO DE 56 KGS,UN,TALLER,TAL,FERRETERIA,FER
6011,BUJE Y PERNO 1114 CAB.ROS,UN,TALLER,TAL,PERNOS,PER
6012,SOPORTE DE ELASTICOS P/EJE REDONDO,UN,TALLER,TAL,FRENO Y SUSPENSION,FYS
6014,AROS DE LLANTAS UNIVERSAL,UN,TALLER,TAL,LLANTAS,LLA
6015,RUEDA METALICA DE ACCIONAMIENTO DE BANDERA A5 EN CON RODAMIENTO 6206 EN SU INTERIOR,UN,TALLER,TAL,PERNOS,PER
6016,LLAN/DISCO MB1521 A20X7.5,UN,TALLER,TAL,FERRETERIA,FER
6017,CAMPANA HELVETICA 8',UN,TALLER,TAL,FRENO Y SUSPENSION,FYS
6018,"LLANTA ARTILLERA 8.25/22,5 S/CAMARA",UN,TALLER,TAL,LLANTAS,LLA
6019,CAMPANA DE FRENO MONTENG,UN,TALLER,TAL,FRENO Y SUSPENSION,FYS
6020,"LLANTA ARTILLERA 750/22,5 S/CAMARA",UN,TALLER,TAL,LLANTAS,LLA
6021,LLANTA ARTILLERA,UN,TALLER,TAL,LLANTAS,LLA
6022,BUJES BRAZO TENSOR 23-78,UN,TALLER,TAL,RODAMIENTOS,ROD
6024,SEPARADORES DE 11 CM,UN,TALLER,TAL,FERRETERIA,FER
6025,BUJE DE GOMA DE LANZA AST,UN,TALLER,TAL,RODAMIENTOS,ROD
6028,LLANTA 10 AG. R22.5 BORLEM SIN CAMARA,UN,TALLER,TAL,LLANTAS,LLA
6029,PIEZA 63 PLANCHUELA SEGUN PLANO,UN,TALLER,TAL,OXICORTE,OXI
6030,PIEZA 64 PLANCHUELA SEGUN PLANO,UN,TALLER,TAL,OXICORTE,OXI
6031,PIEZA 65 PLANCHUELA SEGUN PLANO,UN,TALLER,TAL,OXICORTE,OXI
6032,PIEZA 66 PLANCHUELA SEGUN PLANO,UN,TALLER,TAL,OXICORTE,OXI
6033,PIEZA 67 SEGUN PLANO,UN,TALLER,TAL,REPUESTOS,RPU
6034,"CAMPANA FRENO 7"" PRATTI",UN,TALLER,TAL,FRENO Y SUSPENSION,FYS
6035,CONJ.GANCHO TIJERAS MONTE,UN,TALLER,TAL,FERRETERIA,FER
6036,RESORTES DOBLE GRD. P/PLATO MON,UN,TALLER,TAL,REPUESTOS,RPU
6037,PIEZA 68 SEGUN PLANO,UN,TALLER,TAL,REPUESTOS,RPU
6038,JABONERAS DE PLATO ENGANC,UN,TALLER,TAL,FERRETERIA,FER
6039,PIEZA 69 SEGUN PLANO,UN,TALLER,TAL,REPUESTOS,RPU
6040,TENSOR REG 500 C/BUJE 7/8,UN,TALLER,TAL,TRANSMISION,TRN
6041,"CAMPANAS MONTENEG. 7""",UN,TALLER,TAL,FRENO Y SUSPENSION,FYS
6042,MAZA RODINE EJE BRASILERO,UN,TALLER,TAL,RODAMIENTOS,ROD
6043,PIEZA 70 SEGUN PLANO,UN,TALLER,TAL,REPUESTOS,RPU
6047,TENSORES REG.ASTIVIA LARG,UN,TALLER,TAL,TRANSMISION,TRN
6048,RESORTE PARA PLATO DE ENG,UN,TALLER,TAL,REPUESTOS,RPU
6051,LLANTAS 750 X 16,UN,TALLER,TAL,LLANTAS,LLA
6055,CAMPANA DE FRENO P/BATEA BRASIL 10 AGUJ.,UN,TALLER,TAL,FRENO Y SUSPENSION,FYS
6057,TENSOR FIJO ASTIVIA 400MM,UN,TALLER,TAL,TRANSMISION,TRN
6058,PLATO DE ENGANCHE DE 140 MM,UN,TALLER,TAL,FERRETERIA,FER
6059,GUARDAPOLVO P/EQ. DE FRENO AIRE,UN,TALLER,TAL,FRENO Y SUSPENSION,FYS
6060,SOPORTE PLATO DE ENGANCHE,UN,TALLER,TAL,FERRETERIA,FER
6061,GRAMPAS ARTILL.HELV.DOBLE,UN,TALLER,TAL,BULONERIA,BUL
6063,GANCHO TIJERAS CEDOM,UN,TALLER,TAL,FERRETERIA,FER
6064,CU¥A ENGANC.PLATO2'MONTEN,UN,TALLER,TAL,FERRETERIA,FER
6065,"LLANTA 1100 7,5 X 20",UN,TALLER,TAL,LLANTAS,LLA
6066,LLAN.ART.P/SCANIA 1100X20,UN,TALLER,TAL,FERRETERIA,FER
6067,TENSOR FIJO 500 C/BUJ 7/8,UN,TALLER,TAL,TRANSMISION,TRN
6070,"LLANTA DISCO 6.5X20"" 6 AGUJ.F500/600",UN,TALLER,TAL,LLANTAS,LLA
6071,"LLANTA DISCO 10 AGUJEROS SIN CAMARA 22,50 X 7,50",UN,TALLER,TAL,LLANTAS,LLA
6072,"LLANTAS DE 10 AGUJEROS CON CAMARA 22,50 X 7,50",UN,TALLER,TAL,LLANTAS,LLA
6073,LLANTA 8 AGUJEROS DE 7X22.5 SIN CAMARA,UN,TALLER,TAL,LLANTAS,LLA
6074,VALVULA R7900,UN,TALLER,TAL,VALVULAS,VAL
6075,VALVULA LLANTA DISCO,UN,TALLER,TAL,VALVULAS,VAL
6076,VALVULA LLANTA ARTILLERA,UN,TALLER,TAL,VALVULAS,VAL
6077,"LLANTA DISCO 10 AGUJEROS 22,50 X 7,00 CENTRO ESPECIAL CARRETON",UN,TALLER,TAL,LLANTAS,LLA
6302,CAMPANAS FABRIC.ESPECIAL 8'X15,UN,TALLER,TAL,FRENO Y SUSPENSION,FYS
6502,CONTACTOS TELEMECANIQUE P/CAJA COMANDO,UN,TALLER,TAL,HIDRAULICA,HID
6504,PULSADOR,UN,TALLER,TAL,ELECTRICIDAD,ELE
6507,FAROL BAIMIL 600,UN,TALLER,TAL,ELECTRICIDAD,ELE
6508,ENCHUFES 1 VIA HEM-MACH CHRYSLER,UN,TALLER,TAL,ELECTRICIDAD,ELE
6509,BORNES PARA BATERIAS,UN,TALLER,TAL,ELECTRICIDAD,ELE
6510,BORNES NAUT.CORT MAZA JGO,UN,TALLER,TAL,RODAMIENTOS,ROD
6513,FUSIBLES DE 15,UN,TALLER,TAL,ELECTRICIDAD,ELE
6514,FUSILERA M.A.P. IMP,UN,TALLER,TAL,FERRETERIA,FER
6515,FUSIBLES DE 25,UN,TALLER,TAL,ELECTRICIDAD,ELE
6516,FUSIBLES PARA CAMION RENAULT,UN,TALLER,TAL,ELECTRICIDAD,ELE
6517,FUSIBLES AEREOS DE 70 AMP.,UN,TALLER,TAL,ELECTRICIDAD,ELE
6518,CABLE DE 4.5 MM,UN,TALLER,TAL,ELECTRICIDAD,ELE
6519,ENCHUFE HEMBRA TOMA CORRIENTE 7 PINES,UN,TALLER,TAL,ELECTRICIDAD,ELE
6520,ENCHUFE MACHO TOMA CORRIENTE 7 PINES,UN,TALLER,TAL,ELECTRICIDAD,ELE
6521,CABLE PARA SOLDADORA 1 X 35 DIAM EXT 13 MM,MT,TALLER,TAL,ELECTRICIDAD,ELE
6522,PLASTICOS M.80 P/MONTENEG,UN,TALLER,TAL,FERRETERIA,FER
6523,FAROS MONTENEG.RED.POS 1P,UN,TALLER,TAL,ELECTRICIDAD,ELE
6524,CORRUGADO NEGRO DE 5/8 CONB CORTE LATERAL,UN,TALLER,TAL,ELECTRICIDAD,ELE
6525,FICHAS 5 PATAS ACOPLADO REF X JGO,UN,TALLER,TAL,ELECTRICIDAD,ELE
6526,LAMPARAS DE 24 V,UN,TALLER,TAL,ELECTRICIDAD,ELE
6527,SOPORTE LATERAL ART.1035/FL2,UN,TALLER,TAL,FERRETERIA,FER
6528,CABLE DE 1 X 6 MM,MT,TALLER,TAL,ELECTRICIDAD,ELE
6529,CABLE DE 2 MM,MT,TALLER,TAL,ELECTRICIDAD,ELE
6530,CABLE DE 1 X 1 NORMALIZADO ENVAINADO,MT,TALLER,TAL,ELECTRICIDAD,ELE
6531,CABLE DE 3 X 1,MT,TALLER,TAL,ELECTRICIDAD,ELE
6532,BAILMS 1610 (ROJO ROJO AMBAR) CON RESPECTIVOS FOCOS,UN,TALLER,TAL,ELECTRICIDAD,ELE
6533,BAILMS 1820(CRISTAL) (ENV. 4U) CON RESPECTIVOS FOCOS,UN,TALLER,TAL,ELECTRICIDAD,ELE
6534,BAILMS 1820(ROJO) (ENV. 4U) CON RESPECTIVOS FOCOS,UN,TALLER,TAL,ELECTRICIDAD,ELE
6535,BAILMS 1017 (ROJO) (ENV.12) CON RESPECTIVOS FOCOS,UN,TALLER,TAL,ELECTRICIDAD,ELE
6536,BAILMS 1017 (AMBAR) (ENV.12) CON RESPECTIVOS FOCOS,UN,TALLER,TAL,EPP,EPP
6537,BAILMS 1017 (VERDE) (ENV.12) CON RESPECTIVOS FOCOS,UN,TALLER,TAL,ELECTRICIDAD,ELE
6538,BAILMS 1041 (AMBAR),UN,TALLER,TAL,ELECTRICIDAD,ELE
6539,BAILMS 900R (ENV.2U),UN,TALLER,TAL,ELECTRICIDAD,ELE
6540,BAILMS 605 (ENV.8U) CON RESPECTIVOS FOCOS,UN,TALLER,TAL,ELECTRICIDAD,ELE
6541,FAROL BAIMIL DOBLE 634/635,UN,TALLER,TAL,ELECTRICIDAD,ELE
6542,LAMPARA DE 12V 15W,UN,TALLER,TAL,ELECTRICIDAD,ELE
6543,ACRILICO FAROL TRASERO 1610 ART,UN,TALLER,TAL,ELECTRICIDAD,ELE
6544,LENTES PARA FAROL 1090,UN,TALLER,TAL,ELECTRICIDAD,ELE
6545,CABLE 7 X 1 MM VAINA RED,MT,TALLER,TAL,ELECTRICIDAD,ELE
6546,CABLE DE 5 X 1 MT VAINA REDONDO,MT,TALLER,TAL,ELECTRICIDAD,ELE
6547,LAMPARAS 2 POLOS 12V 21W P.D.,UN,TALLER,TAL,ELECTRICIDAD,ELE
6548,ENCHUFES ELECT.5/HEMBRA,UN,TALLER,TAL,ELECTRICIDAD,ELE
6549,LAMPARAS 1 POLO 12V 21 W P.D.,UN,TALLER,TAL,ELECTRICIDAD,ELE
6550,BAILMS 608 (ENV.12U) CON RESPECTIVOS FOCOS,UN,TALLER,TAL,ELECTRICIDAD,ELE
6551,CABLE PARA MASA DE 10 MM,MT,TALLER,TAL,ELECTRICIDAD,ELE
6552,FAROL TRASERO IZQUIERDO,UN,TALLER,TAL,ELECTRICIDAD,ELE
6553,LAMPARA DE 1 POLO 24-21,UN,TALLER,TAL,ELECTRICIDAD,ELE
6554,ENCHUFES ELECTR.5/MACHO,UN,TALLER,TAL,ELECTRICIDAD,ELE
6555,CABLE DE 4X6MM,MT,TALLER,TAL,ELECTRICIDAD,ELE
6556,LAMPARA 12V 5 W S/CULOTE,UN,TALLER,TAL,ELECTRICIDAD,ELE
6557,LAMPARA DE 12V 5W,UN,TALLER,TAL,ELECTRICIDAD,ELE
6558,LAMPARA 24V 15 W,UN,TALLER,TAL,ELECTRICIDAD,ELE
6559,LAMPARA DE 24V 5W S/CULOTE,UN,TALLER,TAL,ELECTRICIDAD,ELE
6560,LAMP.OSRAM 3893 12V4W BA9S TABLERO,UN,TALLER,TAL,FERRETERIA,FER
6561,PUENTE DE CONEXION A PALA,UN,TALLER,TAL,FERRETERIA,FER
6562,LAMPARAS 24V 5W,UN,TALLER,TAL,ELECTRICIDAD,ELE
6563,RELAY D. GIRO FORD F 57 B 12 VOLT. T5,UN,TALLER,TAL,FERRETERIA,FER
6564,LAMPARA DE 12V 5W 2 POLOS,UN,TALLER,TAL,ELECTRICIDAD,ELE
6565,FAROL BAIMIL 1035 SIMPLE.,UN,TALLER,TAL,ELECTRICIDAD,ELE
6565,FAROL BAIMIL 1037/38/39 AMBAR,UN,TALLER,TAL,ELECTRICIDAD,ELE
6566,FAROL BAIMIL 3010E - 3020E AMBAR,UN,TALLER,TAL,ELECTRICIDAD,ELE
6566,SOPORTE LATERAL 615/634 2,UN,TALLER,TAL,FERRETERIA,FER
6567,FAROL BAIMIL 1600E AMBAR,UN,TALLER,TAL,ELECTRICIDAD,ELE
6567,RELAY ELECTRON 24V 4T LUZ EMERG.,UN,TALLER,TAL,FERRETERIA,FER
6568,LAMPAR 21 X 12V NARANJA,UN,TALLER,TAL,FERRETERIA,FER
6569,FAROL BAIMIL 634,UN,TALLER,TAL,ELECTRICIDAD,ELE
6570,FAROL BAIMIL 1035 /6 ELECTR.,UN,TALLER,TAL,ELECTRICIDAD,ELE
6571,FUSIBLES DE 25 AMP,UN,TALLER,TAL,ELECTRICIDAD,ELE
6572,FUSIBLES DE 30 AMP,UN,TALLER,TAL,ELECTRICIDAD,ELE
6573,BALIZADOR DESTELL. 3T 24 VOLT,UN,TALLER,TAL,ELECTRICIDAD,ELE
6574,FICHA DE DOS VIAS PLASTICAS DE T (HEMBRA),UN,TALLER,TAL,ELECTRICIDAD,ELE
6575,FICHA DE DOS VIAS PLASTICAS DE T (MACHO),UN,TALLER,TAL,ELECTRICIDAD,ELE
6576,FICHA DE DOS VIAS PLASTICAS DE T (MACHO),UN,TALLER,TAL,ELECTRICIDAD,ELE
6577,LAMPARA 12V 10W,UN,TALLER,TAL,ELECTRICIDAD,ELE
6578,LAMPARA 12V TABL. 3W CAS,UN,TALLER,TAL,ELECTRICIDAD,ELE
6579,LAMPARA OSRAM 12V BLISTER 64198,UN,TALLER,TAL,ELECTRICIDAD,ELE
6580,"FUNDA SPAGHETTI TERMOCONTRAIBLE 3/32"" (2.40MM)",MT,TALLER,TAL,REPUESTOS,RPU
6581,"FUNDA SPAGHETTI TERMOCONTRAIBLE 1/8"" (3.2MM)",MT,TALLER,TAL,REPUESTOS,RPU
6582,"FUNDA SPAGHETTI TERMOCONTRAIBLE 5/16"" (8.00MM)",MT,TALLER,TAL,REPUESTOS,RPU
6583,"FUNDA SPAGHETTI TERMOCONTRAIBLE 12,5 mm",MT,TALLER,TAL,REPUESTOS,RPU
6584,LAMPARA 24V 2W BA9S DE TABLERO,UN,TALLER,TAL,ELECTRICIDAD,ELE
6585,LAMPARA 24V.21W,UN,TALLER,TAL,ELECTRICIDAD,ELE
6586,LAMPARA DE 2 POLOS 24V,UN,TALLER,TAL,ELECTRICIDAD,ELE
6587,TECLA BALIZA,UN,TALLER,TAL,ELECTRICIDAD,ELE
6588,LAMPARA DE TECHO Y GUARDABARRO,UN,TALLER,TAL,GUARDAFANGOS,GFA
6589,LAMPARA DE BAJA,UN,TALLER,TAL,ELECTRICIDAD,ELE
6590,LAMPARA DE ALTA,UN,TALLER,TAL,ELECTRICIDAD,ELE
6591,DESTELLADOR,UN,TALLER,TAL,FERRETERIA,FER
6592,RELAY 50 AMP,UN,TALLER,TAL,FERRETERIA,FER
6593,ZOCALO DE RELAY,UN,TALLER,TAL,FERRETERIA,FER
6594,ACRILICOS BAIMIL 1035,UN,TALLER,TAL,ELECTRICIDAD,ELE
6595,ACRILICO BAIMIL 600,UN,TALLER,TAL,ELECTRICIDAD,ELE
6596,FUSIBLES DE 7.5 AMP,UN,TALLER,TAL,ELECTRICIDAD,ELE
6597,FUSIBLES DE 10 AMP,UN,TALLER,TAL,ELECTRICIDAD,ELE
6598,FUSIBLES DE 15 AMP,UN,TALLER,TAL,ELECTRICIDAD,ELE
6599,FUSIBLES DE 20 AMP,UN,TALLER,TAL,ELECTRICIDAD,ELE
6600,CHICOTES VARIOS,UN,TALLER,TAL,FERRETERIA,FER
6601,FICHA FORD PIEZA N 325971921/444212 MACHO,UN,TALLER,TAL,ELECTRICIDAD,ELE
6602,FICHA FORD PIEZA N 325971921/444200 HEMBRA,UN,TALLER,TAL,ELECTRICIDAD,ELE
6603,TERMOCONTRAIBLE DE 20 MM,MT,TALLER,TAL,FERRETERIA,FER
6604,OPTICA DELANTERO IZQUIERDO,UN,TALLER,TAL,FERRETERIA,FER
6605,ACRILICO BAIMIL 1820 ROJO,UN,TALLER,TAL,ELECTRICIDAD,ELE
6606,FAROL BAIMIL 603 PATENTE DIMATRA,UN,TALLER,TAL,ELECTRICIDAD,ELE
6607,FICHA ESTANCA,UN,TALLER,TAL,ELECTRICIDAD,ELE
6608,AVISADOR DE VIRAJE 12 VOL,UN,TALLER,TAL,FERRETERIA,FER
6609,"LLANTA DISCO 10 AGUJEROS 22,50 X 8.25",UN,TALLER,TAL,LLANTAS,LLA
6610,FUSIBLES DE 15,UN,TALLER,TAL,ELECTRICIDAD,ELE
6611,ACRILICO BAIMIL 1820 CRISTAL,UN,TALLER,TAL,ELECTRICIDAD,ELE
6612,ACRILICOS BAIMIL 634 ROJO VERDE AMARILLO,UN,TALLER,TAL,ELECTRICIDAD,ELE
6613,CABLE DE 2 X 1 VAINA RED.,MT,TALLER,TAL,ELECTRICIDAD,ELE
6614,FAROL BAIML 1810,UN,TALLER,TAL,ELECTRICIDAD,ELE
6618,TERMINAL PALA HEMBRA ART 915,UN,TALLER,TAL,ELECTRICIDAD,ELE
6619,BORNERA,UN,TALLER,TAL,FERRETERIA,FER
6620,PRECINTOS P/CABLE GRANDES,UN,TALLER,TAL,CONSUMIBLES,CSM
6621,TERMINAL PALA MACHO ART 916,UN,TALLER,TAL,ELECTRICIDAD,ELE
6622,FAROL TRASERO BAIMIL 1300,UN,TALLER,TAL,ELECTRICIDAD,ELE
6623,TERMINALES PALA HEMBRA,UN,TALLER,TAL,ELECTRICIDAD,ELE
6624,TERMINAL PARA MASA DE 3/8,UN,TALLER,TAL,ELECTRICIDAD,ELE
6625,TERMINAL PARA MASA DE 5/8,UN,TALLER,TAL,ELECTRICIDAD,ELE
6626,ACRILICOS BAIMIL 1300,UN,TALLER,TAL,ELECTRICIDAD,ELE
6627,TERMINAL PARA MASA DE 1/2,UN,TALLER,TAL,ELECTRICIDAD,ELE
6628,"CABLE DE 2,5MM",MT,TALLER,TAL,ELECTRICIDAD,ELE
6629,TERMINAL HOJAL ART. 14,UN,TALLER,TAL,ELECTRICIDAD,ELE
6630,CRISTAL ART.1200,UN,TALLER,TAL,VIDRIOS,VID
6631,TERMINALES DE 5/16,UN,TALLER,TAL,ELECTRICIDAD,ELE
6632,AUTOMATICO ARRANQUE 12VOL,UN,TALLER,TAL,ELECTRICIDAD,ELE
6633,AUTOMATICO ARRANQUE 24VOL,UN,TALLER,TAL,ELECTRICIDAD,ELE
6634,BOTON ARRANQUE,UN,TALLER,TAL,ELECTRICIDAD,ELE
6635,BAIMIL 3000 E,UN,TALLER,TAL,ELECTRICIDAD,ELE
6636,BAIMIL 3030 E,UN,TALLER,TAL,ELECTRICIDAD,ELE
6637,BATERIA 12V.70A. AH 440CCA,UN,TALLER,TAL,ELECTRICIDAD,ELE
6638,FARO TRASERO BRASIL (1500),UN,TALLER,TAL,ELECTRICIDAD,ELE
6639,"LLAVE DE PUNTO (MEDIDA DE CALADA 9 MM X 22,5 MM)",UN,TALLER,TAL,HERRAMIENTAS,HER
6640,BATERIA 160XL510 A222 H238,UN,TALLER,TAL,ELECTRICIDAD,ELE
6641,BATERIA ALCALINA DE 250 AMP,UN,TALLER,TAL,ELECTRICIDAD,ELE
6642,PULSADOR CON CAPUCHON DE GOMA IP66SA-BP21,UN,TALLER,TAL,FERRETERIA,FER
6643,BLOQUES DE CONTACTOS AUXILIARES SB-BE 101,UN,TALLER,TAL,FERRETERIA,FER
6644,BAIMIL 603 E,UN,TALLER,TAL,ELECTRICIDAD,ELE
6645,BAIMIL 1035 E,UN,TALLER,TAL,ELECTRICIDAD,ELE
6647,BAIMIL 900 RR (TRIANGULAR ROJO),UN,TALLER,TAL,ELECTRICIDAD,ELE
6648,TERMINAL OJAL DE 9MM,UN,TALLER,TAL,ELECTRICIDAD,ELE
6649,"TERMINAL OJAL DE 3/8""",UN,TALLER,TAL,ELECTRICIDAD,ELE
6650,"TERMINAL OJAL DE 5/16""",UN,TALLER,TAL,ELECTRICIDAD,ELE
6651,JUEGO DE ELÁSTICOS,UN,TALLER,TAL,HERRAMIENTAS,HER
6652,FUSIBLERA PARA 6 ELEMENTOS,UN,TALLER,TAL,ELECTRICIDAD,ELE
6653,CAÑO DE LUZ 5/8 PARED DE 0.7 X 6 MTS SIN PINTAR (15.87x1.50mm),MT,TALLER,TAL,HIERROS,HIE
6654,CORTACORRIENTE,UN,TALLER,TAL,ELECTRICIDAD,ELE
6655,ACRILICO BAIMIL 1017,UN,TALLER,TAL,ELECTRICIDAD,ELE
6656,TERMINAL OJAL,UN,TALLER,TAL,ELECTRICIDAD,ELE
6657,TERMINAL PARA CABLE 35 X 1,UN,TALLER,TAL,ELECTRICIDAD,ELE
6658,CAJA ESTANCA 1 X,UN,TALLER,TAL,ELECTRICIDAD,ELE
6659,CAJA DE ALUMINIO INYECTADO IP 65 C.A.P 007 150 X 200 X 100 C.EST,UN,TALLER,TAL,FERRETERIA,FER
6660,BOTONERA 1000 N AEA,UN,TALLER,TAL,ELECTRICIDAD,ELE
6661,CONTACTO MICRO M-300 NA AEA,UN,TALLER,TAL,ELECTRICIDAD,ELE
6662,MICROFUSIBLE DE 15 A,UN,TALLER,TAL,FERRETERIA,FER
6663,MICROFUSIBLE DE 10 A,UN,TALLER,TAL,FERRETERIA,FER
6664,MICROFUSIBLES DEC 5 A,UN,TALLER,TAL,FERRETERIA,FER
6665,LAMPARA H3,UN,TALLER,TAL,ELECTRICIDAD,ELE
6666,LAMPARA H7,UN,TALLER,TAL,ELECTRICIDAD,ELE
6667,LAMPARA 12 V 15 W 1 polo patas a 45°,UN,TALLER,TAL,ELECTRICIDAD,ELE
6668,LAMPARAS 24 V 15 W 1 polo patas a 45°,UN,TALLER,TAL,ELECTRICIDAD,ELE
6669,Delimitadoras 1035 E Cristal,UN,TALLER,TAL,VIDRIOS,VID
6670,LUCES 3 MARIAS BAIML,UN,TALLER,TAL,ELECTRICIDAD,ELE
6671,Delimitadoras 1035 E Ambar,UN,TALLER,TAL,FERRETERIA,FER
6672,Faros Patente 608 E Cristal,UN,TALLER,TAL,ELECTRICIDAD,ELE
6673,"Faros 3000 EMT-3 Giro, Posicion y Freno",UN,TALLER,TAL,FRENO Y SUSPENSION,FYS
6674,Conjunto 3 Marias 3000 EMT-3RB // (Los tres en Rojo),UN,TALLER,TAL,REPUESTOS,RPU
6675,BAIMIL LED TRIPLE RRR C300E-2-RB,UN,TALLER,TAL,ELECTRICIDAD,ELE
6676,BAIMIL LED CUADRUPLE CRRA C3000ED,UN,TALLER,TAL,ELECTRICIDAD,ELE
6770,REP/ELECT/P/GUERRERO,UN,TALLER,TAL,FERRETERIA,FER
6777,PORTA LAMPARA,UN,TALLER,TAL,ELECTRICIDAD,ELE
6778,TIRA LED,UN,TALLER,TAL,ELECTRICIDAD,ELE
6779,LUBRICANTE MULTIPROPOSITO,UN,TALLER,TAL,ACEITES,ACE
6780,JGO FICHA INYECTADA 5 VIAS,UN,TALLER,TAL,ELECTRICIDAD,ELE
6781,ALTERNADOR,UN,TALLER,TAL,ELECTRICIDAD,ELE
6782,LAMPARAS H1 DE 24V,UN,TALLER,TAL,ELECTRICIDAD,ELE
6783,LAMPARAS P21 24V,UN,TALLER,TAL,ELECTRICIDAD,ELE
6784,LAMPARAS R10 DE 24V,UN,TALLER,TAL,ELECTRICIDAD,ELE
6785,LAMPARAS R5 DE 24V,UN,TALLER,TAL,ELECTRICIDAD,ELE
6788,FUSIBLES UNIVERSALES 10 BLISTER,UN,TALLER,TAL,ELECTRICIDAD,ELE
6789,BAIMIL LED FL1033 AMBAR 12/24V 1033EFL.A,UN,TALLER,TAL,ELECTRICIDAD,ELE
6790,BAIMIL 1033 LED AMBAR 1033E.A,UN,TALLER,TAL,ELECTRICIDAD,ELE
6791,BAIMIL 1033 LED VERDE 1033E-V,UN,TALLER,TAL,ELECTRICIDAD,ELE
6792,BAIMIL 1041 AMBAR RECTANGULAR 1041.A,UN,TALLER,TAL,ELECTRICIDAD,ELE
6793,BAILMS 3100,UN,TALLER,TAL,ELECTRICIDAD,ELE
6794,BAILMS 7000E,UN,TALLER,TAL,ELECTRICIDAD,ELE
6795,FICHA 2 VIAS T MACHO,UN,TALLER,TAL,ELECTRICIDAD,ELE
6796,REPUESTO PLASTICO PARA MASCARA DE SOLDAR (FOTOSENSIBLE),UN,TALLER,TAL,EPP,EPP
6804,ABS 452M C/CONEXIONES ELECTRICAS COMPLETAS SIN SENSORES (MARCA HALDEX),UN,TALLER,TAL,FRENO Y SUSPENSION,FYS
6805,"ACOPLE ROSCA 3/8"" P/MANGUERAS DE DIAM 12MM",UN,TALLER,TAL,FRENO Y SUSPENSION,FYS
6806,VALVULA DE DESCARGA 4 VIAS,UN,TALLER,TAL,FRENO Y SUSPENSION,FYS
6807,"VALVULA DE TRCM (VALVULA PARQUEO 2 BOTONES, ROJO-NEGRO)",UN,TALLER,TAL,FRENO Y SUSPENSION,FYS
6808,"CORRUGADO DIAMETRO 1"" BLANCO",UN,TALLER,TAL,FRENO Y SUSPENSION,FYS
6809,"CODO ROSCA 3/8"" P/MANGUERA DIAM 12MM",UN,TALLER,TAL,FRENO Y SUSPENSION,FYS
6810,"CODO ROSCA 3/8"" P/MANGUERA DIAM 8MM",UN,TALLER,TAL,FRENO Y SUSPENSION,FYS
6811,"ACOPLE ROSCA DIAM 16MM PASO 1,5MM P/MANGUERA DIAM 12MM",UN,TALLER,TAL,FRENO Y SUSPENSION,FYS
6812,"ACOPLE ROSCA DIAM 16MM PASO 1,5MM P/MANGUERA DIAM 8MM",UN,TALLER,TAL,FRENO Y SUSPENSION,FYS
6813,"ACOPLE ROSCA DIAM 22MM PASO 1,5MM P/MANGUERA DIAM 8MM",UN,TALLER,TAL,FRENO Y SUSPENSION,FYS
6814,MANGUERA POLIAMIDA 16MM,UN,TALLER,TAL,FRENO Y SUSPENSION,FYS
6815,"ACOPLE ROSCA 1/4"" P/MANGUERA DIAM 12MM",UN,TALLER,TAL,CONEXIONES,CON
6816,"PURGADOR DE TANQUE ROSCA 1/4""",UN,TALLER,TAL,FRENO Y SUSPENSION,FYS
6817,MAZO ELECTRICO CONEXIÓN BATEA 305 ECLH,UN,TALLER,TAL,ELECTRICIDAD,ELE
6818,Terminal redondo 10 mm (Tipo Baud-Mol),UN,TALLER,TAL,ELECTRICIDAD,ELE
6819,Terminal redondo 7 mm (Tipo Baud-Mol),UN,TALLER,TAL,ELECTRICIDAD,ELE
6820,Tuerca remache 6 mm,UN,TALLER,TAL,BULONERIA,BUL
6996,"BUJE TIPO SALTO DE 90 (80 MM DE LARGO 48 MM DIAM EXT X 1"" DIAM INT)",UN,TALLER,TAL,RODAMIENTOS,ROD
6997,ABREAZADERA DE ELASTICO,UN,TALLER,TAL,FRENO Y SUSPENSION,FYS
6998,OREJAS PANHARD,UN,TALLER,TAL,FERRETERIA,FER
